category,subcategory,name,variant,price_ars,description,is_active
Promociones,Promociones,"3 Empanadas + lata de gaseosa","",5700,"",true
Promociones,Promociones,"Promo App de la Semana","",18500,"Promo 4x3: 3 empanadas de cada variedad a elección. Debe seleccionar 4 gustos. Sabores: Carne, Jamón y Queso, Verdura, Pollo, Humita, Muzzarella y Cebolla, Atún, Kaprese.",true
Promociones,Promo cajitas,"Cajita de 6 Empanadas con Salsita + Lata de Stella Artois","",11800,"",true
Promociones,Promo norteña,"Promo norteña","",19300,"6 empanadas tucumanas + 6 empanadas salteñas con salsa de limón y salsa picante",true
Promociones,Promo cajitas,"Cajita Salteña","",10500,"6 empanadas salteñas + salsa picante",true
Promociones,Promo cajitas,"Cajita tucumana","",10500,"6 empanadas tucumanas + salsa de limón",true
Promociones,Promo cajitas,"Cajita criolla","",10500,"6 empanadas de res braseada + salsita de morrones ahumados",true
Promociones,Promociones,"12 Empanadas + 1 Pepsi o Quilmes","",24000,"Empanadas de Carne o Jamón y Queso.",true
Promociones,Promociones,"Pizza Muzzarella + 1 Pepsi o Quilmes","8 porciones",14800,"Pizza Muzzarella con: Salsa de tomate, muzzarella, aceitunas verdes.",true
Promociones,Promociones,"Pizza Muzzarella + 1 Pepsi o Quilmes","12 porciones",17200,"Pizza Muzzarella con: Salsa de tomate, muzzarella, aceitunas verdes.",true
Promociones,Promociones,"Pizza Muzzarella + 4 Empanadas","8 porciones",17500,"Pizza Muzzarella con: Salsa de tomate, muzzarella, aceitunas verdes - Empanadas: Carne o Jamón y Queso.",true
Promociones,Promociones,"Pizza Muzzarella + 4 Empanadas","12 porciones",19800,"Pizza Muzzarella con: Salsa de tomate, muzzarella, aceitunas verdes - Empanadas: Carne o Jamón y Queso.",true
Promociones,Promociones,"Pizza Muzzarella + 6 Empanadas + 1 Pepsi o Quilmes","8 porciones",24900,"Pizza Muzzarella con: salsa de tomate, muzzarella y aceitunas - Empanadas de: Carne, Jamón y Queso.",true
Promociones,Promociones,"Pizza Muzzarella + 6 Empanadas + 1 Pepsi o Quilmes","12 porciones",27200,"Pizza Muzzarella con: salsa de tomate, muzzarella y aceitunas - Empanadas de: Carne, Jamón y Queso.",true
Promociones,Promociones,"Pizza Especial + 6 Empanadas + 1 Pepsi o Quilmes","8 porciones",27400,"Pizza Especial con: salsa de tomate, muzzarella, jamón, morrones, aceitunas y huevo - Empanadas de: Carne, Jamón y Queso.",true
Promociones,Promociones,"Pizza Especial + 6 Empanadas + 1 Pepsi o Quilmes","12 porciones",31000,"Pizza Especial con: salsa de tomate, muzzarella, jamón, morrones, aceitunas y huevo - Empanadas de: Carne, Jamón y Queso.",true
Promociones,Promociones,"Pizza Muzzarella + 12 Empanadas","8 porciones",31000,"Pizza Muzzarella con: Salsa de tomate, muzzarella, aceitunas verdes - Empanadas: Carne o Jamón y Queso.",true
Promociones,Promociones,"Pizza Muzzarella + 12 Empanadas","12 porciones",33200,"Pizza Muzzarella con: Salsa de tomate, muzzarella, aceitunas verdes - Empanadas: Carne o Jamón y Queso.",true
Promociones,Promociones,"2 Pizzas Muzzarella","8 porciones",21600,"Pizza Muzzarella con: salsa de tomate, muzzarella y aceitunas.",true
Promociones,Promociones,"2 Pizzas Muzzarella","12 porciones",26300,"Pizza Muzzarella con: salsa de tomate, muzzarella y aceitunas.",true
Promociones,Promociones,"Pizza Muzzarella + Pizza Especial","8 porciones",24200,"Pizza Especial con: salsa de tomate, muzzarella, jamón, morrones, aceitunas y huevo. Pizza Muzzarella con: salsa de tomate, muzzarella y aceitunas.",true
Promociones,Promociones,"Pizza Muzzarella + Pizza Especial","12 porciones",30000,"Pizza Especial con: salsa de tomate, muzzarella, jamón, morrones, aceitunas y huevo. Pizza Muzzarella con: salsa de tomate, muzzarella y aceitunas.",true
Promociones,Promociones,"12 Empanadas + 12 Triples","",40500,"Empanadas: Carne o Jamón y Queso - Triples: Jamón, Queso, Lechuga y Tomate.",true
Promociones,Promociones,"12 Triples + 1 Pepsi o Quilmes","",24800,"Triples: Jamón, Queso, Lechuga y Tomate.",true
Promociones,Promociones,"Franui","",8000,"Frambuesas bañadas en chocolate",true
Pack Lunch,Pack Lunch,"48 Simples de Jamón y Queso","",20000,"Simples: 24 de Jamón - 24 de Queso.",true
Pack Lunch,Pack Lunch,"48 Simples Surtidos","",20000,"12 Jamón - 12 Queso - 6 Choclo - 6 Roquefort - 6 Huevos y aceitunas - 6 Huevo y tomate.",true
Pack Lunch,Pack Lunch,"36 Triples Surtidos","",28000,"12 Jamón cocido y queso - 6 jamón cocido y roquefort - 6 Jamón cocido y choclo - 6 Jamón cocido, queso, lechuga y tomate - 6 Jamón cocido, queso, huevo y aceitunas.",true
Pack Lunch,Pack Lunch,"36 Triples Especiales","",30000,"6 Jamón cocido y queso - 6 jamón crudo y queso - 6 Jamón cocido y roquefort - 6 Jamón cocido, huevo y tomate - 6 Pavita, huevo y morrón - 6 Pavita, queso y tomate.",true
Pack Lunch,Pack Lunch,"36 Triples La Orden","",32000,"6 Jamón cocido y ananá - 6 jamón cocido y roquefort - 6 Jamón crudo y queso - 6 Jamón crudo, palmito y cereza - 6 Peceto, huevo y morrón - 6 Peceto, huevo y tomate.",true
Pack Lunch,Pack Lunch,"24 Triples veggies","",24000,"6 de Queso, Choclo, y Queso Crema - 6 de Huevo, Morrón, Queso y Aceitunas - 6 de Rúcula, Parmesano, Huevo y Queso - 6 de Palmitos, Salsa Golf y Queso",true
Promos Single,Promos Single,"3 Empanadas + Gaseosa","",6200,"Elegís 3 empanadas de carne, jamón y queso, pollo o verdura + gaseosa 1/2 litro.",true
Promos Single,Promos Single,"Triple + Gaseosa","",6200,"Incluye 4 triples con una gaseosa de medio litro a elección.",true
Promos Single,Promos Single,"Pizzeta + Gaseosa","",5800,"Elegís: Muzzarella, Muzzarella con Jamón o Napolitana + gaseosa 1/2 litro.",true
Promos Single,Promos Single,"Ensalada + Gaseosa","",6700,"Ensalada a elección + gaseosa 1/2 litro.",true
Empanadas,Empanadas,"Empanada de Carne","",1850,"Pulpa picada, cebolla, aceituna, huevo duro, pimentón y ají molido.",true
Empanadas,Empanadas,"Empanada de Jamón y Queso","",1850,"Muzzarella y jamón cocido.",true
